pickup_longitude,pickup_latitude
-73.978165,40.757977
-74.006683,40.731781
-74.004707,40.73777
-73.974602,40.759945
-73.97625,40.748528
-73.966743,40.764252
-73.995804,40.743977
-73.989937,40.756775
-73.980072,40.743137
-73.977936,40.786983
-73.982452,40.773167
-73.99556,40.749294
-73.971497,40.791321
-73.98851,40.774307
-73.994911,40.723221
-74.010391,40.708702
-73.973732,40.756287
-73.968925,40.767704
-73.96212,40.769737
-73.989708,40.756714
-73.78331,40.648766
-73.956505,40.771278
-73.95578,40.77932
-73.978439,40.764679
-73.992172,40.749954
-73.992111,40.689701
-73.978653,40.787735
-73.965317,40.769375
-73.862709,40.769142
-73.977127,40.74831
-73.976318,40.682724
-73.966682,40.761139
-73.948334,40.776482
-73.993202,40.724407
-73.9655,40.711113
-73.991936,40.749622
-73.982384,40.752102
-73.993828,40.721008
-73.991142,40.750366
-73.987022,40.759373
-73.991173,40.74313
-73.99115,40.750023
-73.989342,40.763168
-73.959496,40.779442
-73.904716,40.726418
-73.95871,40.768471
-73.873154,40.773998
-73.990623,40.756813
-73.965843,40.758705
-73.981796,40.758862
-73.977318,40.764542
-73.986534,40.7342
-73.96666,40.773125
-73.958649,40.768791
-73.975922,40.744606
-73.963608,40.774113
-73.958481,40.761166
-73.985573,40.747375
-73.985184,40.773998
-73.967682,40.751221
-74.007469,40.708904
-73.9925,40.758308
-73.982315,40.774441
-73.977676,40.746544
-73.987732,40.751884
-73.864861,40.770428
-73.979706,40.758427
-73.988495,40.737442
-73.980118,40.754601
-74.004578,40.707554
-73.945915,40.786156
-73.790016,40.644058
-73.998337,40.746025
0,0
-73.982079,40.763794
-73.99469,40.750191
-73.947601,40.77533
-73.987099,40.755215
-73.98793,40.749542
-73.989296,40.756313
-73.961678,40.756123
-73.946854,40.775887
-73.986847,40.762066
-73.986351,40.738503
-73.9879,40.737755
-73.998299,40.740654
-74.003059,40.723473
-73.952026,40.766479
-73.945396,40.80209
-73.983917,40.746563
-73.984734,40.76931
-73.976288,40.765472
-73.995102,40.744781
-73.972366,40.762138
-74.00679,40.754345
0,0
-74.005058,40.728676
-73.960358,40.769138
-73.874374,40.774078
0,0
0,0
-73.985962,40.758213
-73.783318,40.648636
-74.00843,40.707649
-73.987953,40.761723
-73.994026,40.719303
-73.997856,40.756405
-73.988632,40.73122
-73.990204,40.748875
-73.994225,40.743343
-73.983711,40.756092
-74.000961,40.747326
-74.000534,40.742233
-73.991524,40.750286
-74.006844,40.741451
-73.970627,40.788956
-73.985481,40.75679
-73.988838,40.723125
-73.988708,40.720913
-73.981224,40.767769
-73.990692,40.718311
-73.952293,40.766174
-73.96151,40.771465
-74.007858,40.705116
-73.995338,40.744701
-73.989571,40.756386
-73.99514,40.754845
-73.993645,40.75573
-73.999763,40.743454
-73.999146,40.734352
-73.990356,40.749485
-73.982033,40.783218
-73.964081,40.76532
-74.00016,40.721786
-73.977966,40.745564
-73.98909,40.748367
-73.975433,40.752464
-74.003731,40.726925
-73.978653,40.752361
-73.977982,40.742004
-73.95079,40.714039
-73.995682,40.679161
-74.010124,40.720692
-73.99482,40.743816
-73.954712,40.789288
-73.955818,40.787796
-73.959908,40.806396
-73.971962,40.749996
-73.998047,40.74577
-73.962318,40.77911
-73.989059,40.750572
-73.954796,40.59893
-73.97345,40.763561
-73.980438,40.76128
-73.97522,40.751698
-73.966156,40.764412
-73.957909,40.774628
-73.996933,40.720055
-74.000313,40.730068
-73.997292,40.720982
-73.993134,40.692734
-73.966843,40.756741
-73.956451,40.771442
-74.005455,40.740772
-73.998657,40.74015
-73.954376,40.789677
-73.989914,40.760544
-73.963219,40.761696
-73.984451,40.732834
-73.944519,40.809158
-73.980049,40.735142
-73.962257,40.760571
-74.006317,40.733406
-73.977806,40.76321
-74.010414,40.729927
-73.967133,40.756481
-74.005142,40.739998
-73.94384,40.814938
-73.998161,40.73542
-73.98658,40.766548
-73.989471,40.720623
-73.982887,40.744957
-73.988449,40.723179
-73.960197,40.757877
-74.010147,40.705051
-73.956543,40.717155
-73.987923,40.72398
-73.985313,40.762997
-73.973907,40.74332
-73.989761,40.723213
-73.98571,40.735306
-74.009911,40.73558
-73.987656,40.732533
-74.00647,40.744583
-73.984886,40.741982
-73.962021,40.805344
-73.997772,40.756634
-73.999771,40.721893
-73.982964,40.74432
0,0
-73.972443,40.756451
-73.987801,40.721195
-73.989433,40.719017
-73.986855,40.721001
-73.987961,40.728695
-73.993034,40.747444
-73.986534,40.747066
-73.996262,40.759922
-73.98642,40.747166
-73.986771,40.674507
-73.945297,40.783367
-73.984695,40.732334
-73.985237,40.719242
-74.00927,40.712772
-73.961502,40.713982
-73.996246,40.723808
-73.954185,40.821575
-73.99054,40.761196
-74.00325,40.74155
-73.981491,40.741055
-74.006226,40.714039
-73.978752,40.678902
-73.993446,40.721489
-74.008476,40.720203
-73.972359,40.793816
-73.966034,40.756313
-74.007187,40.741405
-73.990746,40.72438
-73.988007,40.718781
-73.987015,40.729069
-73.981972,40.778786
-73.981209,40.689205
-73.998131,40.740452
-74.004265,40.733383
-74.000534,40.731518
-73.999199,40.726509
-73.987907,40.757191
-73.98822,40.74966
-73.973991,40.760601
-74.004494,40.742031
-73.984177,40.725204
-73.990112,40.732014
-73.999779,40.738579
-73.988518,40.720043
-73.978142,40.741543
-73.999023,40.727737
-73.995819,40.724506
-73.978554,40.729706
-73.988808,40.722042
-73.997543,40.763805
-73.973953,40.75742
-73.982262,40.731098
-73.971802,40.794418
-73.996292,40.738121
-74.005219,40.740604
-73.95752,40.801159
-73.92482,40.761772
-73.994637,40.720535
-73.971642,40.76263
-73.991943,40.75798
-73.982536,40.731247
-73.973328,40.754566
-73.968918,40.753971
-73.983078,40.69371
-73.955666,40.779266
-73.99279,40.75882
-73.966873,40.75312
-73.958488,40.769073
-73.96769,40.792801
-73.9729,40.795914
-73.975594,40.763512
-73.987015,40.779114
-73.930069,40.761696
-73.862679,40.768909
-73.977173,40.755627
-73.978264,40.783241
-74.006569,40.738552
-73.974709,40.756065
-73.9963,40.725346
-73.987045,40.74091
-73.988136,40.716904
-73.953079,40.786671
-73.991486,40.750271
-73.996193,40.723858
0,0
-73.988518,40.779026
-74.006271,40.731754
-73.972092,40.761971
-73.981056,40.779537
-73.945351,40.782696
-73.973839,40.791142
-73.993469,40.742283
-73.981934,40.778442
-73.960136,40.776108
-74.006424,40.712811
-73.983749,40.748669
-74.001114,40.725819
-73.986557,40.766846
-74.005257,40.719044
-73.978081,40.7528
-73.989456,40.747486
-73.98053,40.688324
-73.973602,40.743832
-73.994385,40.743793
-73.968491,40.767395
-73.999542,40.761429
-73.985931,40.752117
-73.956284,40.779499
-74.004791,40.725842
-73.994675,40.680569
-74.005592,40.740707
-73.949654,40.784626
-74.004128,40.742195
-73.913818,40.765591
-73.919991,40.757874
-73.960114,40.762001
-73.977097,40.790096
-73.99176,40.726768
-73.985703,40.735298
-73.981339,40.780125
-73.960274,40.773277
-73.776688,40.645432
-73.970413,40.783966
-73.96981,40.689541
-73.991867,40.758301
-74.006523,40.736931
-73.9729,40.756081
-73.966049,40.794968
-73.977173,40.75922
-74.000786,40.758099
-73.985359,40.718498
-73.90519,40.753532
-73.987282,40.722424
-73.988808,40.729134
-73.999771,40.738556
-73.989532,40.747303
-73.987854,40.718578
-73.986343,40.756725
-74.004181,40.741985
-73.988739,40.727081
-73.987564,40.732651
-73.977692,40.787045
-73.987984,40.731964
-73.992966,40.757858
-73.987312,40.733047
-73.990944,40.748741
-73.937988,40.796841
-73.963768,40.761402
-73.98938,40.75779
-73.987465,40.728779
-73.966675,40.764263
-73.921768,40.755508
-73.957611,40.717949
-73.992256,40.743748
-73.999664,40.730968
-73.981743,40.72094
-73.997818,40.756344
-73.976707,40.749653
-73.9123,40.742641
-73.873085,40.774139
-73.970253,40.789223
-73.986679,40.766666
-73.962105,40.763489
-74.015175,40.717495
-73.924904,40.75238
-73.975189,40.765186
-73.989281,40.757778
-73.989471,40.688301
-73.986649,40.762623
-73.98246,40.731552
0,0
-73.987823,40.750027
-73.982384,40.76836
-74.005974,40.743942
-73.97802,40.741886
-73.9617,40.764496
-73.956055,40.772114
-73.988808,40.763672
-73.964165,40.792545
-73.989578,40.772881
-74.016403,40.71492
-73.97345,40.782753
-73.965164,40.790913
-73.971695,40.761032
-73.966576,40.752949
-73.971146,40.798248
-73.980347,40.765266
-73.975441,40.752869
-73.974571,40.763023
0,0
-73.977165,40.789757
-73.989105,40.77758
-73.983177,40.726585
